 ,value
scen810,0.009346
scen811,0.009346
scen812,0.009346
scen813,0.009346
scen814,0.009346
scen815,0.009346
scen816,0.009346
scen817,0.009346
scen818,0.009346
scen819,0.009346
scen820,0.009346
scen821,0.009346
scen822,0.009346
scen823,0.009346
scen824,0.009346
scen825,0.009346
scen826,0.009346
scen827,0.009346
scen828,0.009346
scen829,0.009346
scen830,0.009346
scen831,0.009346
scen832,0.009346
scen833,0.009346
scen834,0.009346
scen835,0.009346
scen836,0.009346
scen837,0.009346
scen838,0.009346
scen839,0.009346
scen840,0.009346
scen841,0.009346
scen842,0.009346
scen843,0.009346
scen844,0.009346
scen845,0.009346
scen846,0.009346
scen847,0.009346
scen848,0.009346
scen849,0.009346
scen850,0.009346
scen851,0.009346
scen852,0.009346
scen853,0.009346
scen854,0.009346
scen855,0.009346
scen856,0.009346
scen857,0.009346
scen858,0.009346
scen859,0.009346
scen860,0.009346
scen861,0.009346
scen862,0.009346
scen863,0.009346
scen864,0.009346
scen865,0.009346
scen866,0.009346
scen867,0.009346
scen868,0.009346
scen869,0.009346
scen870,0.009346
scen871,0.009346
scen872,0.009346
scen873,0.009346
scen874,0.009346
scen875,0.009346
scen876,0.009346
scen877,0.009346
scen878,0.009346
scen879,0.009346
scen880,0.009346
scen881,0.009346
scen882,0.009346
scen883,0.009346
scen884,0.009346
scen885,0.009346
scen886,0.009346
scen887,0.009346
scen888,0.009346
scen889,0.009346
scen890,0.009346
scen891,0.009346
scen892,0.009346
scen893,0.009346
scen894,0.009346
scen895,0.009346
scen896,0.009346
scen897,0.009346
scen898,0.009346
scen899,0.009346
scen900,0.009346
scen901,0.009346
scen902,0.009346
scen903,0.009346
scen904,0.009346
scen905,0.009346
scen906,0.009346
scen907,0.009346
scen908,0.009346
scen909,0.009346
scen910,0.009346
scen911,0.009346
scen912,0.009346
scen913,0.008475
scen914,0.008475
scen915,0.008475
scen916,0.008475
scen917,0.008475
scen918,0.008475
scen919,0.008475
scen920,0.008475
scen921,0.008475
scen922,0.008475
scen923,0.008475
scen924,0.008475
scen925,0.008475
scen926,0.008475
scen927,0.008475
scen928,0.008475
scen929,0.008475
scen930,0.008475
scen931,0.008475
scen932,0.008475
scen933,0.008475
scen934,0.008475
scen935,0.008475
scen936,0.008475
scen937,0.008475
scen938,0.008475
scen939,0.008475
scen940,0.008475
scen941,0.008475
scen942,0.008475
scen943,0.008475
scen944,0.008475
scen945,0.008475
scen946,0.008475
scen947,0.008475
scen948,0.008475
scen949,0.008475
scen950,0.008475
scen951,0.008475
scen952,0.008475
scen953,0.008475
scen954,0.008475
scen955,0.008475
scen956,0.008475
scen957,0.008475
scen958,0.008475
scen959,0.008475
scen960,0.008475
scen961,0.008475
scen962,0.008475
scen963,0.008475
scen964,0.008475
scen965,0.008475
scen966,0.008475
scen967,0.008475
scen968,0.008475
scen969,0.008475
scen970,0.008475
scen971,0.008475
scen972,0.008475
scen973,0.008475
scen974,0.008475
scen975,0.008475
scen976,0.008475
scen977,0.008475
scen978,0.008475
scen979,0.008475
scen980,0.008475
scen981,0.008475
scen982,0.008475
scen983,0.008475
scen984,0.008475
scen985,0.008475
scen986,0.008475
scen987,0.008475
scen988,0.008475
scen989,0.008475
scen990,0.008475
scen991,0.008475
scen992,0.008475
scen993,0.008475
scen994,0.008475
scen995,0.008475
scen996,0.008475
scen997,0.008475
scen998,0.008475
scen999,0.008475
scen1000,0.008475
scen1001,0.008475
scen1002,0.008475
scen1003,0.008475
scen1004,0.008475
scen1005,0.008475
scen1006,0.008475
scen1007,0.008475
scen1008,0.008475
