 ,value
scen776,0.0012
scen777,0.001
scen778,0.001
scen779,0.0008
scen780,0.0022
scen781,0.0012
scen782,0.0008
scen783,0.0014
scen784,0.0006
scen785,0.0012
scen786,0.0006
scen787,0.0008
scen788,0.0004
scen789,0.0012
scen790,0.001
scen791,0.0006
scen792,0.0006
scen793,0.0004
scen794,0.001
scen795,0.0006
scen796,0.0004
scen797,0.0004
scen798,0.0012
scen799,0.0006
scen800,0.0006
scen801,0.0008
scen802,0.001
scen803,0.0006
scen804,0.0004
scen805,0.0018
scen806,0.0014
scen807,0.0016
scen808,0.0012
scen809,0.003
scen810,0.002
scen811,0.0012
scen812,0.0016
scen813,0.0024
scen814,0.0012
scen815,0.0014
scen816,0.0012
scen817,0.002
scen818,0.0016
scen819,0.002
scen820,0.0022
scen821,0.002
scen822,0.0014
scen823,0.0016
scen824,0.0012
scen825,0.0018
scen826,0.003
scen827,0.0008
scen828,0.0016
scen829,0.0012
scen830,0.0012
scen831,0.0008
scen832,0.0014
scen833,0.0014
scen834,0.001
scen835,0.0012
scen836,0.0008
scen837,0.0014
scen838,0.0012
scen839,0.001
scen840,0.001
scen841,0.0022
scen842,0.0014
scen843,0.0012
scen844,0.0012
scen845,0.0012
scen846,0.001
scen847,0.0016
scen848,0.0012
scen849,0.0012
scen850,0.001
scen851,0.001
scen852,0.001
scen853,0.0018
scen854,0.0004
scen855,0.0014
scen856,0.0012
scen857,0.001
scen858,0.0012
scen859,0.0014
scen860,0.0014
scen861,0.0006
scen862,0.0014
scen863,0.001
scen864,0.0006
scen865,0.0012
scen866,0.0008
scen867,0.0006
scen868,0.0006
scen869,0.0012
scen870,0.002
scen871,0.0018
scen872,0.001
scen873,0.0012
scen874,0.0006
scen875,0.001
scen876,0.0008
scen877,0.0006
scen878,0.0012
scen879,0.0008
scen880,0.0014
scen881,0.0006
scen882,0.0012
scen883,0.0006
scen884,0.0008
scen885,0.0004
scen886,0.0012
scen887,0.0008
scen888,0.0006
scen889,0.0006
scen890,0.0004
scen891,0.001
scen892,0.0006
scen893,0.0004
