Omega,Tolerance,Step Size Rule,Iterations,Converged?,Gap LR,Gap Naive,Obj. Naive,Obj. LR (UB),"Obj. LR (LB),",Gap,Time Naive,Time LR,Final Lambda,LB Heuristic,BBP,Best iter,Lambda best iter,Gamma best iter
600.0,0.05,6.0,2.0,0.0,0.56623,0.63762,4573.72684,12910.17805,10746.68114,0.56623,4201.0,4202.0,0.0,5599.98663,0.0,1.0,131.80455,-570.0
600.0,0.05,1.0,2.0,0.0,0.57353,0.62251,4709.68284,12762.59305,10311.17741,0.57353,4201.0,4202.0,445.45738,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,2.0,2.0,0.0,0.57353,0.62251,4709.68284,12762.59305,10311.17741,0.57353,4201.0,4202.0,132.25738,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,3.0,2.0,0.0,0.57353,0.62251,4709.68284,12762.59305,10311.17741,0.57353,4201.0,4204.0,679.75738,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,4.0,2.0,0.0,0.57409,0.62251,4709.68284,12779.49914,10311.17741,0.57409,4201.0,4203.0,681.04418,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,5.0,2.0,0.0,0.57353,0.62251,4709.68284,12762.59305,10311.17741,0.57353,4201.0,4203.0,282.25738,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,6.0,2.0,0.0,0.57353,0.62251,4709.68284,12762.59305,10311.17741,0.57353,4201.0,4203.0,0.0,5442.92522,0.0,1.0,132.25738,-570.0
600.0,0.05,1.0,2.0,0.0,0.55907,0.62202,4776.02276,12938.85506,10583.45561,0.55907,4201.0,4203.0,445.31338,5705.14747,0.0,1.0,132.11338,-570.0
600.0,0.05,2.0,2.0,0.0,0.55907,0.62202,4776.02276,12938.85506,10583.45561,0.55907,4201.0,4203.0,132.11338,5705.14747,0.0,1.0,132.11338,-570.0
600.0,0.05,3.0,2.0,0.0,0.55907,0.62202,4776.02276,12938.85506,10583.45561,0.55907,4201.0,4202.0,679.61338,5705.14747,0.0,1.0,132.11338,-570.0
600.0,0.05,4.0,2.0,0.0,0.55907,0.62202,4776.02276,12938.85506,10583.45561,0.55907,4201.0,4201.0,680.90017,5705.14747,0.0,1.0,132.11338,-570.0
600.0,0.05,5.0,2.0,0.0,0.55907,0.62202,4776.02276,12938.85506,10583.45561,0.55907,4201.0,4202.0,282.11338,5705.14747,0.0,1.0,132.11338,-570.0
600.0,0.05,6.0,2.0,0.0,0.55907,0.62202,4776.02276,12938.85506,10583.45561,0.55907,4201.0,4201.0,0.0,5705.14747,0.0,1.0,132.11338,-570.0
600.0,0.05,1.0,2.0,0.0,0.56268,0.62769,4687.28478,12890.35549,10906.77766,0.56268,4201.0,4203.0,444.59866,5637.23272,0.0,1.0,131.39866,-570.0
600.0,0.05,2.0,2.0,0.0,0.56268,0.62769,4687.28478,12890.35549,10906.77766,0.56268,4201.0,4203.0,131.39866,5637.23272,0.0,1.0,131.39866,-570.0
600.0,0.05,3.0,2.0,0.0,0.56268,0.62769,4687.28478,12890.35549,10906.77766,0.56268,4201.0,4203.0,678.89866,5637.23272,0.0,1.0,131.39866,-570.0
600.0,0.05,4.0,2.0,0.0,0.56268,0.62769,4687.28478,12890.35549,10906.77766,0.56268,4201.0,4203.0,680.18546,5637.23272,0.0,1.0,131.39866,-570.0
600.0,0.05,5.0,2.0,0.0,0.56268,0.62769,4687.28478,12890.35549,10906.77766,0.56268,4201.0,4201.0,281.39866,5637.23272,0.0,1.0,131.39866,-570.0
600.0,0.05,6.0,2.0,0.0,0.56268,0.62769,4687.28478,12890.35549,10906.77766,0.56268,4201.0,4203.0,0.0,5637.23272,0.0,1.0,131.39866,-570.0
600.0,0.05,1.0,2.0,0.0,0.5678,0.63962,4490.79416,12751.56645,10665.99962,0.5678,4201.0,4202.0,444.96952,5511.20388,0.0,1.0,131.76952,-570.0
600.0,0.05,2.0,2.0,0.0,0.5678,0.63962,4490.79416,12751.56645,10665.99962,0.5678,4201.0,4202.0,131.76952,5511.20388,0.0,1.0,131.76952,-570.0
600.0,0.05,3.0,2.0,0.0,0.56835,0.63962,4490.79416,12767.89692,10665.99962,0.56835,4201.0,4203.0,679.26952,5511.20388,0.0,1.0,131.76952,-570.0
600.0,0.05,4.0,2.0,0.0,0.5678,0.63962,4490.79416,12751.56645,10665.99962,0.5678,4201.0,4201.0,680.55632,5511.20388,0.0,1.0,131.76952,-570.0
600.0,0.05,5.0,2.0,0.0,0.5678,0.63962,4490.79416,12751.56645,10665.99962,0.5678,4201.0,4202.0,281.76952,5511.20388,0.0,1.0,131.76952,-570.0
600.0,0.05,6.0,2.0,0.0,0.56835,0.63962,4490.79416,12767.89692,10665.99962,0.56835,4201.0,4202.0,0.0,5511.20388,0.0,1.0,131.76952,-570.0
600.0,0.05,1.0,2.0,0.0,0.56731,0.63274,4623.87414,12876.4404,10720.73337,0.56731,4201.0,4202.0,445.01974,5571.50272,0.0,1.0,131.81974,-570.0
600.0,0.05,2.0,2.0,0.0,0.56731,0.63274,4623.87414,12876.4404,10720.73337,0.56731,4201.0,4203.0,131.81974,5571.50272,0.0,1.0,131.81974,-570.0
600.0,0.05,3.0,2.0,0.0,0.56731,0.63274,4623.87414,12876.4404,10720.73337,0.56731,4201.0,4203.0,679.31974,5571.50272,0.0,1.0,131.81974,-570.0
600.0,0.05,4.0,2.0,0.0,0.56731,0.63274,4623.87414,12876.4404,10720.73337,0.56731,4201.0,4203.0,680.60654,5571.50272,0.0,1.0,131.81974,-570.0
600.0,0.05,5.0,2.0,0.0,0.56731,0.63274,4623.87414,12876.4404,10720.73337,0.56731,4201.0,4203.0,281.81974,5571.50272,0.0,1.0,131.81974,-570.0
600.0,0.05,6.0,2.0,0.0,0.56731,0.63274,4623.87414,12876.4404,10720.73337,0.56731,4201.0,4202.0,0.0,5571.50272,0.0,1.0,131.81974,-570.0
