 ,value
w1472,0.005747
w1473,0.005747
w1474,0.005747
w1475,0.005747
w1476,0.005747
w1477,0.005747
w1478,0.005747
w1479,0.005747
w1480,0.005747
w1481,0.005747
w1482,0.005747
w1483,0.005747
w1484,0.005747
w1485,0.005747
w1486,0.005747
w1487,0.005747
w1488,0.005747
w1489,0.005747
w1490,0.005747
w1491,0.005747
w1492,0.005747
w1493,0.005747
w1494,0.005747
w1495,0.005747
w1496,0.005747
w1497,0.005747
w1498,0.005747
w1499,0.005747
w1500,0.005747
w1501,0.005747
w1502,0.005747
w1503,0.005747
w1504,0.005747
w1505,0.005747
w1506,0.005747
w1507,0.005747
w1508,0.005747
w1509,0.005747
w1510,0.005747
w1511,0.005747
w1512,0.005747
w1513,0.005747
w1514,0.005747
w1515,0.005747
w1516,0.005747
w1517,0.005747
w1518,0.005747
w1519,0.005747
w1520,0.005747
w1521,0.005747
w1522,0.005747
w1523,0.005747
w1524,0.005747
w1525,0.005747
w1526,0.005747
w1527,0.005747
w1528,0.005747
w1529,0.005747
w1530,0.005747
w1531,0.005747
w1532,0.005747
w1533,0.005747
w1534,0.005747
w1535,0.005747
w1536,0.005747
w1537,0.005747
w1538,0.005747
w1539,0.005747
w1540,0.005747
w1541,0.005747
w1542,0.005747
w1543,0.005747
w1544,0.005747
w1545,0.005747
w1546,0.005747
w1547,0.005747
w1548,0.005747
w1549,0.005747
w1550,0.005747
w1551,0.005747
w1552,0.005747
w1553,0.005747
w1554,0.005747
w1555,0.005747
w1556,0.005747
w1557,0.005747
w1558,0.005747
w1559,0.005747
w1560,0.005747
w1561,0.005747
w1562,0.005747
w1563,0.005747
w1564,0.005747
w1565,0.005747
w1566,0.005747
w1567,0.005747
w1568,0.005747
w1569,0.005747
w1570,0.005747
w1571,0.005747
w1572,0.005747
w1573,0.005747
w1574,0.005747
w1575,0.005747
w1576,0.005747
w1577,0.005747
w1578,0.005747
w1579,0.005747
w1580,0.005747
w1581,0.005747
w1582,0.005747
w1583,0.005747
w1584,0.005747
w1585,0.005747
w1586,0.005747
w1587,0.005747
w1588,0.005747
w1589,0.005747
w1590,0.005747
w1591,0.005747
w1592,0.005747
w1593,0.005747
w1594,0.005747
w1595,0.005747
w1596,0.005747
w1597,0.005747
w1598,0.005747
w1599,0.005747
w1600,0.005747
w1601,0.005747
w1602,0.005747
w1603,0.005747
w1604,0.005747
w1605,0.005747
w1606,0.005747
w1607,0.005747
w1608,0.005747
w1609,0.005747
w1610,0.005747
w1611,0.005747
w1612,0.005747
w1613,0.005747
w1614,0.005747
w1615,0.005747
w1616,0.005747
w1617,0.005747
w1618,0.005747
w1619,0.005747
w1620,0.005747
w1621,0.005747
w1622,0.005747
w1623,0.005747
w1624,0.005747
w1625,0.005747
w1626,0.005747
w1627,0.005747
w1628,0.005747
w1629,0.005747
w1630,0.005747
w1631,0.005747
w1632,0.005747
w1633,0.005747
w1634,0.005747
w1635,0.005747
w1636,0.005208
w1637,0.005208
w1638,0.005208
w1639,0.005208
w1640,0.005208
w1641,0.005208
w1642,0.005208
w1643,0.005208
w1644,0.005208
w1645,0.005208
w1646,0.005208
w1647,0.005208
w1648,0.005208
w1649,0.005208
w1650,0.005208
w1651,0.005208
w1652,0.005208
w1653,0.005208
w1654,0.005208
w1655,0.005208
w1656,0.005208
w1657,0.005208
w1658,0.005208
w1659,0.005208
w1660,0.005208
w1661,0.005208
w1662,0.005208
w1663,0.005208
w1664,0.005208
w1665,0.005208
w1666,0.005208
w1667,0.005208
w1668,0.005208
